nombre,url
curso1,https://youtu.be/91sb59Wh11c?si=A1ln26k4wzBv9pCn
curso2Simulador,https://youtu.be/Rk5sRUv_Uvs?si=8X3Wq--OnQ_sWNrt,
Guia,https://youtu.be/hy7SXsWnzmg?si=LRxbMDdXbVKBgd6j
